Code,Name,Description
C LIT186NW,Writing Nature from the Sublime to the Anthropocene,"Explores different ways that nature-writing has been conceptualized and practiced (whether in essayistic, poetic, or philosophical modes). Beginning with the 18th-century concept of the Sublime and ending with the Anthropocene (the age we are thought..."
C LIT186PL,Introduction to the Philosophy of Literature,"A survey of twentieth-century French tradition in philosophy of literature (Bergson, Deleuze, Foucault, Derrida, Ricoeur) and twentieth-century analytical tradition regarding the place of literature in arts, the importance (or not) of the author in t..."
C LIT186PP,Poetry & Community Practice,"Poetry & Community Practice honors a connection between poetry and citizenship, assuming that poetry is a wisdom medium or vehicle toward more enlightened thinking and public practice. Poetry is an ideal medium for extending our study and practice be..."
C LIT186RA,Many Ramayanas: Ancient and Modern,"India’s Ramayana is a rip-roaring adventure story, with kings, queens, heroes, villains, lovers, monsters, magic, and miracles. Over thousands of years across South Asia, it has also been the master narrative defining issues of critical ideological i..."
C LIT186RR,"Romantic Revolutions: Philosophy, History, and the Arts in Europe","Interdisciplinary investigation of the revolutionary changes in European history, culture during the Romantic era, 1789-1830. Readings include works by Wordsworth, Byron, and Hegel, paintings by Friedrich and Constable, music by Beethoven and Schuber..."
C LIT186SC,"Reading, Writing, and Reimagining the Literatures of Social Change","This course uses literature as a basis for reigniting our passion for and faith insocial change. It assumes that our service and action programs, together with awhole host of academic inquiry and research practices, are failing that oureducational an..."
C LIT186TT,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186WL,Wild Literature in the Urban Landscape,"Combines study of ecological writing with service to schools and community centers in Santa Barbara. Through exploration of both local and global ecological challenges, students will conduct weekly workshops combining literature and ecology in order..."
C LIT186YY,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186ZC,"The Zong Case: Slavery, Abolition, and the Zong Massacre: Interdisciplinary Perspectives","In 1781, 132 slaves on the British slave ship the Zong were thrown overboard enroute from Africa to Jamaica. ""The Zong massacre"" and resulting insurance dispute played a key role in 18-19th century abolitionist movements. The case is taken up in writ..."
